addrCd,gungu,sido,resNm,rnum,csForCnt,csNatCnt
1111,종로구,서울특별시,창덕궁,1,14137,43677
1111,종로구,서울특별시,운현궁,2,0,6523
1111,종로구,서울특별시,경복궁,3,40224,141183
1111,종로구,서울특별시,창경궁,4,697,17644
1111,종로구,서울특별시,종묘,5,6837,11486
1117,용산구,서울특별시,국립중앙박물관,6,0,260272
1111,종로구,서울특별시,서울역사박물관,7,0,57787
1114,중구,서울특별시,덕수궁,8,5743,92135
1114,중구,서울특별시,서울시립미술관 본관,9,0,234587
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,10,6,1747
1141,서대문구,서울특별시,서대문형무소역사관,11,0,18407
1141,서대문구,서울특별시,서대문자연사박물관,12,0,34551
1144,마포구,서울특별시,트릭아이미술관,13,0,10128
1165,서초구,서울특별시,헌릉ㆍ인릉,14,168,736
1168,강남구,서울특별시,선릉·정릉,15,1365,13486
1171,송파구,서울특별시,롯데월드,16,29335,494730
1111,종로구,서울특별시,창덕궁,1,18114,73330
1111,종로구,서울특별시,운현궁,2,0,10682
1111,종로구,서울특별시,경복궁,3,44906,230814
1111,종로구,서울특별시,창경궁,4,914,35708
1111,종로구,서울특별시,종묘,5,8534,17078
1117,용산구,서울특별시,국립중앙박물관,6,0,224691
1111,종로구,서울특별시,서울역사박물관,7,0,64148
1114,중구,서울특별시,덕수궁,8,8269,132920
1114,중구,서울특별시,서울시립미술관 본관,9,0,171376
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,10,2,1943
1141,서대문구,서울특별시,서대문형무소역사관,11,0,14387
1141,서대문구,서울특별시,서대문자연사박물관,12,0,20934
1144,마포구,서울특별시,트릭아이미술관,13,0,15695
1165,서초구,서울특별시,헌릉ㆍ인릉,14,168,1730
1168,강남구,서울특별시,선릉·정릉,15,1307,18578
1171,송파구,서울특별시,롯데월드,16,33180,506321
1111,종로구,서울특별시,창덕궁,1,28749,78705
1111,종로구,서울특별시,운현궁,2,0,10024
1111,종로구,서울특별시,경복궁,3,73166,228276
1111,종로구,서울특별시,창경궁,4,1664,29856
1111,종로구,서울특별시,종묘,5,13186,22238
1117,용산구,서울특별시,국립중앙박물관,6,0,184565
1111,종로구,서울특별시,서울역사박물관,7,0,72844
1114,중구,서울특별시,덕수궁,8,10311,64869
1114,중구,서울특별시,서울시립미술관 본관,9,0,260687
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,10,2,3000
1141,서대문구,서울특별시,서대문형무소역사관,11,0,47554
1141,서대문구,서울특별시,서대문자연사박물관,12,0,18641
1144,마포구,서울특별시,트릭아이미술관,13,0,11468
1165,서초구,서울특별시,헌릉ㆍ인릉,14,351,2085
1168,강남구,서울특별시,선릉·정릉,15,2546,22696
1171,송파구,서울특별시,롯데월드,16,23335,288170
1111,종로구,서울특별시,창덕궁,1,33551,129150
1111,종로구,서울특별시,운현궁,2,0,17574
1111,종로구,서울특별시,경복궁,3,89972,349368
1111,종로구,서울특별시,창경궁,4,1687,70101
1111,종로구,서울특별시,종묘,5,13436,30470
