addrCd,gungu,sido,resNm,rnum,csForCnt,csNatCnt
1141,서대문구,서울특별시,서대문형무소역사관,8,4476,80932
1141,서대문구,서울특별시,서대문자연사박물관,9,0,25663
1144,마포구,서울특별시,트릭아이미술관,10,25577,7170
1165,서초구,서울특별시,헌릉ㆍ인릉,11,13,5335
1168,강남구,서울특별시,선릉·정릉,12,662,41184
1111,종로구,서울특별시,창덕궁,1,44328,95232
1111,종로구,서울특별시,경복궁,2,276101,263435
1111,종로구,서울특별시,창경궁,3,3364,45270
1111,종로구,서울특별시,종묘,4,5564,15950
1117,용산구,서울특별시,국립중앙박물관,5,15492,233800
1114,중구,서울특별시,덕수궁,6,26998,122701
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,35,9440
1141,서대문구,서울특별시,서대문형무소역사관,8,915,52204
1141,서대문구,서울특별시,서대문자연사박물관,9,0,26647
1144,마포구,서울특별시,트릭아이미술관,10,20431,6379
1165,서초구,서울특별시,헌릉ㆍ인릉,11,13,4525
1168,강남구,서울특별시,선릉·정릉,12,452,34058
1111,종로구,서울특별시,창덕궁,1,41816,56511
1111,종로구,서울특별시,경복궁,2,352717,220865
1111,종로구,서울특별시,창경궁,3,3931,54844
1111,종로구,서울특별시,종묘,4,6164,12620
1117,용산구,서울특별시,국립중앙박물관,5,20934,283826
1114,중구,서울특별시,덕수궁,6,27566,106114
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,49,3454
1141,서대문구,서울특별시,서대문형무소역사관,8,5030,31310
1141,서대문구,서울특별시,서대문자연사박물관,9,0,32745
1144,마포구,서울특별시,트릭아이미술관,10,28670,12218
1165,서초구,서울특별시,헌릉ㆍ인릉,11,3,2324
1168,강남구,서울특별시,선릉·정릉,12,351,23724
1111,종로구,서울특별시,창덕궁,1,40729,59729
1111,종로구,서울특별시,경복궁,2,283115,225335
1111,종로구,서울특별시,창경궁,3,3270,57004
1111,종로구,서울특별시,종묘,4,6094,12237
1117,용산구,서울특별시,국립중앙박물관,5,20138,426347
1114,중구,서울특별시,덕수궁,6,24396,105984
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,46,3051
1141,서대문구,서울특별시,서대문형무소역사관,8,8279,114395
1141,서대문구,서울특별시,서대문자연사박물관,9,0,47091
1144,마포구,서울특별시,트릭아이미술관,10,21480,22213
1165,서초구,서울특별시,헌릉ㆍ인릉,11,21,1493
1168,강남구,서울특별시,선릉·정릉,12,232,18732
1111,종로구,서울특별시,창덕궁,1,43682,140097
1111,종로구,서울특별시,경복궁,2,211357,360920
1111,종로구,서울특별시,창경궁,3,5496,78110
1111,종로구,서울특별시,종묘,4,8185,23920
1117,용산구,서울특별시,국립중앙박물관,5,12218,242191
1114,중구,서울특별시,덕수궁,6,25843,172717
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,27,10739
1141,서대문구,서울특별시,서대문형무소역사관,8,6369,33223
1141,서대문구,서울특별시,서대문자연사박물관,9,0,22388
1144,마포구,서울특별시,트릭아이미술관,10,13677,5504
1165,서초구,서울특별시,헌릉ㆍ인릉,11,17,3815
1168,강남구,서울특별시,선릉·정릉,12,541,35199
1111,종로구,서울특별시,창덕궁,1,66671,182621
1111,종로구,서울특별시,경복궁,2,236910,512873
1111,종로구,서울특별시,창경궁,3,5468,121351
1111,종로구,서울특별시,종묘,4,8813,24122
1117,용산구,서울특별시,국립중앙박물관,5,14386,262585
1114,중구,서울특별시,덕수궁,6,29549,150871
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,102,17881
1141,서대문구,서울특별시,서대문형무소역사관,8,6272,76689
1141,서대문구,서울특별시,서대문자연사박물관,9,0,26965
1144,마포구,서울특별시,트릭아이미술관,10,23237,7392
1165,서초구,서울특별시,헌릉ㆍ인릉,11,11,5253
1168,강남구,서울특별시,선릉·정릉,12,554,39194
1111,종로구,서울특별시,창덕궁,1,55860,143481
1111,종로구,서울특별시,경복궁,2,148113,194951
1111,종로구,서울특별시,창경궁,3,5605,60322
1111,종로구,서울특별시,종묘,4,6887,16678
1117,용산구,서울특별시,국립중앙박물관,5,11950,190929
1114,중구,서울특별시,덕수궁,6,25262,101022
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,40,7507
1141,서대문구,서울특별시,서대문형무소역사관,8,5559,47882
1141,서대문구,서울특별시,서대문자연사박물관,9,0,24905
1144,마포구,서울특별시,트릭아이미술관,10,16675,4179
1165,서초구,서울특별시,헌릉ㆍ인릉,11,49,2915
1168,강남구,서울특별시,선릉·정릉,12,370,27041
1111,종로구,서울특별시,창덕궁,1,39559,52082
1111,종로구,서울특별시,경복궁,2,142110,151317
1111,종로구,서울특별시,창경궁,3,3447,20397
1111,종로구,서울특별시,종묘,4,4905,11575
1117,용산구,서울특별시,국립중앙박물관,5,9439,298297
1114,중구,서울특별시,덕수궁,6,20499,52797
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,4,2406
1141,서대문구,서울특별시,서대문형무소역사관,8,5597,28405
1141,서대문구,서울특별시,서대문자연사박물관,9,0,20579
1144,마포구,서울특별시,트릭아이미술관,10,26168,6187
1165,서초구,서울특별시,헌릉ㆍ인릉,11,1,1785
1168,강남구,서울특별시,선릉·정릉,12,125,14507
1111,종로구,서울특별시,창덕궁,1,38179,56789
1111,종로구,서울특별시,경복궁,2,151625,165237
1111,종로구,서울특별시,창경궁,3,2934,24650
1111,종로구,서울특별시,종묘,4,3675,12773
1117,용산구,서울특별시,국립중앙박물관,5,7847,456498
