addrCd,gungu,sido,resNm,rnum,csForCnt,csNatCnt
2714,동구,대구광역시,팔공산 케이블카,3,1070,20325
2723,북구,대구광역시,대구사격장,4,111,13159
2726,수성구,대구광역시,대구미술관,5,0,16577
2729,달서구,대구광역시,이월드,6,0,99932
2729,달서구,대구광역시,온천 엘리바덴,7,7800,60536
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),8,862,22695
2771,달성군,대구광역시,스파밸리,9,129,17764
2771,달성군,대구광역시,국립대구과학관,10,0,43166
2711,중구,대구광역시,구암서원,1,56,2087
2714,동구,대구광역시,대구시니어체험관,2,0,386
2714,동구,대구광역시,팔공산 케이블카,3,870,17411
2723,북구,대구광역시,대구사격장,4,191,12790
2726,수성구,대구광역시,대구미술관,5,0,20102
2729,달서구,대구광역시,이월드,6,0,85501
2729,달서구,대구광역시,온천 엘리바덴,7,11693,63253
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),8,468,10408
2771,달성군,대구광역시,스파밸리,9,310,30129
2771,달성군,대구광역시,국립대구과학관,10,0,45635
2711,중구,대구광역시,구암서원,1,2,2703
2714,동구,대구광역시,대구시니어체험관,2,0,342
2714,동구,대구광역시,팔공산 케이블카,3,1290,25826
2723,북구,대구광역시,대구사격장,4,1061,11129
2726,수성구,대구광역시,대구미술관,5,0,27884
2729,달서구,대구광역시,이월드,6,0,135452
2729,달서구,대구광역시,온천 엘리바덴,7,13888,83476
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),8,623,17714
2771,달성군,대구광역시,스파밸리,9,288,41014
2771,달성군,대구광역시,국립대구과학관,10,0,66301
2711,중구,대구광역시,구암서원,1,60,2410
2714,동구,대구광역시,대구시니어체험관,2,49,297
2714,동구,대구광역시,팔공산 케이블카,3,1656,27613
2723,북구,대구광역시,대구사격장,4,106,12258
2726,수성구,대구광역시,대구미술관,5,0,210787
2729,달서구,대구광역시,이월드,6,0,123033
2729,달서구,대구광역시,온천 엘리바덴,7,3545,54515
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),8,625,22538
2771,달성군,대구광역시,스파밸리,9,118,1344
2771,달성군,대구광역시,국립대구과학관,10,0,39660
2711,중구,대구광역시,구암서원,1,81,2801
2714,동구,대구광역시,대구시니어체험관,2,0,453
2714,동구,대구광역시,팔공산 케이블카,3,0,50441
2723,북구,대구광역시,대구사격장,4,99,15671
2726,수성구,대구광역시,대구미술관,5,0,0
2729,달서구,대구광역시,이월드,6,0,151404
2729,달서구,대구광역시,온천 엘리바덴,7,1767,42919
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),8,838,39070
2771,달성군,대구광역시,스파밸리,9,216,2729
2771,달성군,대구광역시,국립대구과학관,10,0,75688
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),11,0,7345
2711,중구,대구광역시,구암서원,1,14,2264
2714,동구,대구광역시,대구시니어체험관,2,32,565
2714,동구,대구광역시,팔공산 케이블카,3,0,41541
2723,북구,대구광역시,대구사격장,4,96,14774
2726,수성구,대구광역시,대구미술관,5,0,3253
2729,달서구,대구광역시,이월드,6,0,96292
2729,달서구,대구광역시,온천 엘리바덴,7,867,52735
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),8,1215,15327
2771,달성군,대구광역시,스파밸리,9,72,7343
2771,달성군,대구광역시,국립대구과학관,10,0,49761
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),11,0,3601
2711,중구,대구광역시,구암서원,1,15,187
2714,동구,대구광역시,대구시니어체험관,2,0,589
2714,동구,대구광역시,팔공산 케이블카,3,0,12143
2723,북구,대구광역시,대구사격장,4,131,13909
2726,수성구,대구광역시,대구미술관,5,0,14840
2729,달서구,대구광역시,이월드,6,0,103090
2729,달서구,대구광역시,온천 엘리바덴,7,1797,86220
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),8,613,7608
2771,달성군,대구광역시,스파밸리,9,0,5256
2771,달성군,대구광역시,국립대구과학관,10,0,63002
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),11,0,620
2711,중구,대구광역시,구암서원,1,25,1738
2714,동구,대구광역시,대구시니어체험관,2,0,325
2714,동구,대구광역시,팔공산 케이블카,3,0,17973
2723,북구,대구광역시,대구사격장,4,139,13393
2726,수성구,대구광역시,대구미술관,5,0,21900
2729,달서구,대구광역시,이월드,6,5937,112796
2729,달서구,대구광역시,온천 엘리바덴,7,1276,75599
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),8,657,13824
2771,달성군,대구광역시,스파밸리,9,22,21205
2771,달성군,대구광역시,국립대구과학관,10,0,106912
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),11,0,1665
2711,중구,대구광역시,구암서원,1,80,1641
2714,동구,대구광역시,대구시니어체험관,2,0,468
2714,동구,대구광역시,팔공산 케이블카,3,0,19039
2723,북구,대구광역시,대구사격장,4,102,13058
2726,수성구,대구광역시,대구미술관,5,0,22623
2729,달서구,대구광역시,이월드,6,4994,94892
2729,달서구,대구광역시,온천 엘리바덴,7,1487,69601
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),8,0,0
2771,달성군,대구광역시,스파밸리,9,187,6179
2771,달성군,대구광역시,국립대구과학관,10,0,59464
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),11,0,1577
2711,중구,대구광역시,구암서원,1,39,1815
2714,동구,대구광역시,대구시니어체험관,2,46,305
2714,동구,대구광역시,팔공산 케이블카,3,0,24465
2723,북구,대구광역시,대구사격장,4,69,10343
2726,수성구,대구광역시,대구미술관,5,0,12801
2729,달서구,대구광역시,이월드,6,6362,120874
2729,달서구,대구광역시,온천 엘리바덴,7,1287,58083
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),8,0,0
2771,달성군,대구광역시,스파밸리,9,44,1468
2771,달성군,대구광역시,국립대구과학관,10,0,32618
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),11,0,4343
2711,중구,대구광역시,구암서원,1,153,1765
