addrCd,gungu,sido,resNm,rnum,csForCnt,csNatCnt
2771,달성군,대구광역시,스파밸리,10,180,33732
2771,달성군,대구광역시,국립대구과학관,11,0,0
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,0,0
2711,중구,대구광역시,구암서원,1,5,1004
2711,중구,대구광역시,향촌문화관,2,51,5989
2714,동구,대구광역시,대구시니어체험관,3,0,166
2714,동구,대구광역시,팔공산 케이블카,4,0,23260
2723,북구,대구광역시,대구사격장,5,121,12619
2726,수성구,대구광역시,대구미술관,6,0,13781
2729,달서구,대구광역시,이월드,7,2457,165854
2729,달서구,대구광역시,온천 엘리바덴,8,0,51297
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,2174,9365
2771,달성군,대구광역시,스파밸리,10,0,12175
2771,달성군,대구광역시,국립대구과학관,11,0,0
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,0,0
2711,중구,대구광역시,구암서원,1,40,1210
2711,중구,대구광역시,향촌문화관,2,95,7601
2714,동구,대구광역시,대구시니어체험관,3,0,96
